[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=100, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  0.0%   1/6600] CV-SDP S2-Illum MC 76/100 CV=0.0 | time=  3.92s | IPM=  181 | Solved | ETA 11.3h
[  0.0%   2/6600] Direct S2-Illum MC 76/100 CV=0.0 | time=  2.16s | IPM=   36 | Infeasible | ETA 9.4h
[  0.0%   3/6600] CV-SDP S2-Illum MC 76/100 CV=0.1 | time=  1.20s | IPM=   97 | Solved | ETA 7.7h
[  0.1%   4/6600] Direct S2-Illum MC 76/100 CV=0.1 | time= 11.16s | IPM=  363 | Solved | ETA 15.9h
[  0.1%   5/6600] CV-SDP S2-Illum MC 76/100 CV=0.2 | time=  1.24s | IPM=  124 | Solved | ETA 13.7h
[  0.1%   6/6600] Direct S2-Illum MC 76/100 CV=0.2 | time=  9.95s | IPM=  344 | Solved | ETA 17.5h
[  0.1%   7/6600] CV-SDP S2-Illum MC 76/100 CV=0.3 | time=  1.29s | IPM=  128 | Solved | ETA 15.7h
[  0.1%   8/6600] Direct S2-Illum MC 76/100 CV=0.3 | time= 11.13s | IPM=  389 | Solved | ETA 18.7h
[  0.1%   9/6600] CV-SDP S2-Illum MC 76/100 CV=0.4 | time=  1.26s | IPM=  124 | Solved | ETA 17.1h
[  0.2%  10/6600] Direct S2-Illum MC 76/100 CV=0.4 | time=  6.16s | IPM=  215 | Solved | ETA 17.7h
[  0.2%  11/6600] CV-SDP S2-Illum MC 76/100 CV=0.5 | time=  1.23s | IPM=  123 | Solved | ETA 16.5h
[  0.2%  12/6600] Direct S2-Illum MC 76/100 CV=0.5 | time=  6.83s | IPM=  224 | Solved | ETA 17.2h
[  0.2%  13/6600] CV-SDP S2-Illum MC 76/100 CV=0.6 | time=  1.29s | IPM=  126 | Solved | ETA 16.2h
[  0.2%  14/6600] Direct S2-Illum MC 76/100 CV=0.6 | time=  6.90s | IPM=  230 | Solved | ETA 16.9h
[  0.2%  15/6600] CV-SDP S2-Illum MC 76/100 CV=0.7 | time=  1.28s | IPM=  119 | Solved | ETA 16.0h
[  0.2%  16/6600] Direct S2-Illum MC 76/100 CV=0.7 | time=  6.63s | IPM=  216 | Solved | ETA 16.6h
[  0.3%  17/6600] CV-SDP S2-Illum MC 76/100 CV=0.8 | time=  1.29s | IPM=  120 | Solved | ETA 15.9h
[  0.3%  18/6600] Direct S2-Illum MC 76/100 CV=0.8 | time=  6.64s | IPM=  211 | Solved | ETA 16.3h
[  0.3%  19/6600] CV-SDP S2-Illum MC 76/100 CV=0.9 | time=  1.30s | IPM=  119 | Solved | ETA 15.7h
[  0.3%  20/6600] Direct S2-Illum MC 76/100 CV=0.9 | time=  6.14s | IPM=  205 | Solved | ETA 16.1h
[  0.3%  21/6600] CV-SDP S2-Illum MC 76/100 CV=1.0 | time=  1.30s | IPM=  118 | Solved | ETA 15.5h
[  0.3%  22/6600] Direct S2-Illum MC 76/100 CV=1.0 | time=  6.42s | IPM=  190 | Solved | ETA 15.9h
[  0.3%  23/6600] CV-SDP S2-Illum MC 77/100 CV=0.0 | time=  3.52s | IPM=  363 | Solved | ETA 15.7h
[  0.4%  24/6600] Direct S2-Illum MC 77/100 CV=0.0 | time=  2.32s | IPM=   57 | Failed | ETA 15.4h
[  0.4%  25/6600] CV-SDP S2-Illum MC 77/100 CV=0.1 | time=  1.14s | IPM=   98 | Solved | ETA 15.0h
[  0.4%  26/6600] Direct S2-Illum MC 77/100 CV=0.1 | time= 10.34s | IPM=  341 | Solved | ETA 15.9h
[  0.4%  27/6600] CV-SDP S2-Illum MC 77/100 CV=0.2 | time=  1.28s | IPM=  122 | Solved | ETA 15.4h
[  0.4%  28/6600] Direct S2-Illum MC 77/100 CV=0.2 | time= 10.91s | IPM=  366 | Solved | ETA 16.3h
[  0.4%  29/6600] CV-SDP S2-Illum MC 77/100 CV=0.3 | time=  1.32s | IPM=  128 | Solved | ETA 15.9h
[  0.5%  30/6600] Direct S2-Illum MC 77/100 CV=0.3 | time= 11.45s | IPM=  381 | Solved | ETA 16.8h
[  0.5%  31/6600] CV-SDP S2-Illum MC 77/100 CV=0.4 | time=  1.37s | IPM=  122 | Solved | ETA 16.4h
[  0.5%  32/6600] Direct S2-Illum MC 77/100 CV=0.4 | time=  6.83s | IPM=  225 | Solved | ETA 16.7h
[  0.5%  33/6600] CV-SDP S2-Illum MC 77/100 CV=0.5 | time=  1.25s | IPM=  117 | Solved | ETA 16.3h
[  0.5%  34/6600] Direct S2-Illum MC 77/100 CV=0.5 | time=  6.90s | IPM=  230 | Solved | ETA 16.6h
[  0.5%  35/6600] CV-SDP S2-Illum MC 77/100 CV=0.6 | time=  1.26s | IPM=  117 | Solved | ETA 16.2h
[  0.5%  36/6600] Direct S2-Illum MC 77/100 CV=0.6 | time=  6.90s | IPM=  230 | Solved | ETA 16.5h
[  0.6%  37/6600] CV-SDP S2-Illum MC 77/100 CV=0.7 | time=  1.27s | IPM=  126 | Solved | ETA 16.1h
[  0.6%  38/6600] Direct S2-Illum MC 77/100 CV=0.7 | time=  6.82s | IPM=  220 | Solved | ETA 16.4h
[  0.6%  39/6600] CV-SDP S2-Illum MC 77/100 CV=0.8 | time=  1.24s | IPM=  119 | Solved | ETA 16.1h
[  0.6%  40/6600] Direct S2-Illum MC 77/100 CV=0.8 | time=  6.63s | IPM=  218 | Solved | ETA 16.3h
[  0.6%  41/6600] CV-SDP S2-Illum MC 77/100 CV=0.9 | time=  1.27s | IPM=  116 | Solved | ETA 16.0h
[  0.6%  42/6600] Direct S2-Illum MC 77/100 CV=0.9 | time=  6.58s | IPM=  207 | Solved | ETA 16.2h
[  0.7%  43/6600] CV-SDP S2-Illum MC 77/100 CV=1.0 | time=  1.17s | IPM=  108 | Solved | ETA 15.9h
[  0.7%  44/6600] Direct S2-Illum MC 77/100 CV=1.0 | time=  6.21s | IPM=  196 | Solved | ETA 16.0h
[  0.7%  45/6600] CV-SDP S2-Illum MC 78/100 CV=0.0 | time=  4.25s | IPM=  462 | Solved | ETA 16.0h
[  0.7%  46/6600] Direct S2-Illum MC 78/100 CV=0.0 | time=  2.38s | IPM=   54 | Infeasible | ETA 15.8h
[  0.7%  47/6600] CV-SDP S2-Illum MC 78/100 CV=0.1 | time=  1.39s | IPM=  124 | Solved | ETA 15.6h
[  0.7%  48/6600] Direct S2-Illum MC 78/100 CV=0.1 | time= 10.48s | IPM=  332 | Solved | ETA 16.1h
[  0.7%  49/6600] CV-SDP S2-Illum MC 78/100 CV=0.2 | time=  1.28s | IPM=  117 | Solved | ETA 15.9h
[  0.8%  50/6600] Direct S2-Illum MC 78/100 CV=0.2 | time= 10.39s | IPM=  333 | Solved | ETA 16.3h
[  0.8%  51/6600] CV-SDP S2-Illum MC 78/100 CV=0.3 | time=  1.28s | IPM=  114 | Solved | ETA 16.1h
[  0.8%  52/6600] Direct S2-Illum MC 78/100 CV=0.3 | time= 10.59s | IPM=  349 | Solved | ETA 16.5h
[  0.8%  53/6600] CV-SDP S2-Illum MC 78/100 CV=0.4 | time=  1.25s | IPM=  119 | Solved | ETA 16.3h
[  0.8%  54/6600] Direct S2-Illum MC 78/100 CV=0.4 | time= 10.32s | IPM=  341 | Solved | ETA 16.7h
[  0.8%  55/6600] CV-SDP S2-Illum MC 78/100 CV=0.5 | time=  1.27s | IPM=  110 | Solved | ETA 16.4h
[  0.8%  56/6600] Direct S2-Illum MC 78/100 CV=0.5 | time=  6.92s | IPM=  231 | Solved | ETA 16.6h
[  0.9%  57/6600] CV-SDP S2-Illum MC 78/100 CV=0.6 | time=  1.16s | IPM=  112 | Solved | ETA 16.4h
[  0.9%  58/6600] Direct S2-Illum MC 78/100 CV=0.6 | time=  7.03s | IPM=  235 | Solved | ETA 16.5h
[  0.9%  59/6600] CV-SDP S2-Illum MC 78/100 CV=0.7 | time=  1.23s | IPM=  114 | Solved | ETA 16.3h
[  0.9%  60/6600] Direct S2-Illum MC 78/100 CV=0.7 | time=  6.88s | IPM=  220 | Solved | ETA 16.5h
[  0.9%  61/6600] CV-SDP S2-Illum MC 78/100 CV=0.8 | time=  1.27s | IPM=  119 | Solved | ETA 16.3h
[  0.9%  62/6600] Direct S2-Illum MC 78/100 CV=0.8 | time=  6.65s | IPM=  212 | Solved | ETA 16.4h
[  1.0%  63/6600] CV-SDP S2-Illum MC 78/100 CV=0.9 | time=  1.25s | IPM=  116 | Solved | ETA 16.2h
[  1.0%  64/6600] Direct S2-Illum MC 78/100 CV=0.9 | time=  6.73s | IPM=  206 | Solved | ETA 16.3h
[  1.0%  65/6600] CV-SDP S2-Illum MC 78/100 CV=1.0 | time=  1.13s | IPM=  110 | Solved | ETA 16.1h
[  1.0%  66/6600] Direct S2-Illum MC 78/100 CV=1.0 | time=  6.24s | IPM=  192 | Solved | ETA 16.2h
[  1.0%  67/6600] CV-SDP S2-Illum MC 79/100 CV=0.0 | time=  3.32s | IPM=  351 | Solved | ETA 16.2h
[  1.0%  68/6600] Direct S2-Illum MC 79/100 CV=0.0 | time=  2.02s | IPM=   46 | Infeasible | ETA 16.0h
[  1.0%  69/6600] CV-SDP S2-Illum MC 79/100 CV=0.1 | time=  2.51s | IPM=  240 | Solved | ETA 15.9h
[  1.1%  70/6600] Direct S2-Illum MC 79/100 CV=0.1 | time= 16.59s | IPM=  542 | Solved | ETA 16.6h
[  1.1%  71/6600] CV-SDP S2-Illum MC 79/100 CV=0.2 | time=  2.34s | IPM=  225 | Solved | ETA 16.4h
[  1.1%  72/6600] Direct S2-Illum MC 79/100 CV=0.2 | time= 17.07s | IPM=  568 | Solved | ETA 17.1h
[  1.1%  73/6600] CV-SDP S2-Illum MC 79/100 CV=0.3 | time=  2.42s | IPM=  216 | Solved | ETA 16.9h
[  1.1%  74/6600] Direct S2-Illum MC 79/100 CV=0.3 | time= 18.45s | IPM=  629 | Solved | ETA 17.6h
[  1.1%  75/6600] CV-SDP S2-Illum MC 79/100 CV=0.4 | time=  2.29s | IPM=  215 | Solved | ETA 17.5h
[  1.2%  76/6600] Direct S2-Illum MC 79/100 CV=0.4 | time= 18.20s | IPM=  614 | Solved | ETA 18.1h
[  1.2%  77/6600] CV-SDP S2-Illum MC 79/100 CV=0.5 | time=  2.38s | IPM=  220 | Solved | ETA 18.0h
[  1.2%  78/6600] Direct S2-Illum MC 79/100 CV=0.5 | time= 14.06s | IPM=  462 | Solved | ETA 18.4h
[  1.2%  79/6600] CV-SDP S2-Illum MC 79/100 CV=0.6 | time=  2.42s | IPM=  216 | Solved | ETA 18.3h
[  1.2%  80/6600] Direct S2-Illum MC 79/100 CV=0.6 | time= 13.91s | IPM=  464 | Solved | ETA 18.7h
[  1.2%  81/6600] CV-SDP S2-Illum MC 79/100 CV=0.7 | time=  2.41s | IPM=  225 | Solved | ETA 18.6h
[  1.2%  82/6600] Direct S2-Illum MC 79/100 CV=0.7 | time= 13.69s | IPM=  448 | Solved | ETA 18.9h
[  1.3%  83/6600] CV-SDP S2-Illum MC 79/100 CV=0.8 | time=  2.49s | IPM=  241 | Solved | ETA 18.8h
[  1.3%  84/6600] Direct S2-Illum MC 79/100 CV=0.8 | time= 13.52s | IPM=  442 | Solved | ETA 19.2h
[  1.3%  85/6600] CV-SDP S2-Illum MC 79/100 CV=0.9 | time=  2.41s | IPM=  221 | Solved | ETA 19.1h
[  1.3%  86/6600] Direct S2-Illum MC 79/100 CV=0.9 | time= 13.18s | IPM=  416 | Solved | ETA 19.4h
[  1.3%  87/6600] CV-SDP S2-Illum MC 79/100 CV=1.0 | time=  2.45s | IPM=  231 | Solved | ETA 19.3h
[  1.3%  88/6600] Direct S2-Illum MC 79/100 CV=1.0 | time= 12.59s | IPM=  399 | Solved | ETA 19.6h
[  1.3%  89/6600] CV-SDP S2-Illum MC 80/100 CV=0.0 | time=  1.99s | IPM=  224 | Solved | ETA 19.4h
[  1.4%  90/6600] Direct S2-Illum MC 80/100 CV=0.0 | time=  1.75s | IPM=   35 | Infeasible | ETA 19.3h
[  1.4%  91/6600] CV-SDP S2-Illum MC 80/100 CV=0.1 | time=  1.26s | IPM=  119 | Solved | ETA 19.1h
[  1.4%  92/6600] Direct S2-Illum MC 80/100 CV=0.1 | time=  9.72s | IPM=  316 | Solved | ETA 19.3h
[  1.4%  93/6600] CV-SDP S2-Illum MC 80/100 CV=0.2 | time=  1.25s | IPM=  119 | Solved | ETA 19.1h
[  1.4%  94/6600] Direct S2-Illum MC 80/100 CV=0.2 | time= 10.44s | IPM=  352 | Solved | ETA 19.3h
[  1.4%  95/6600] CV-SDP S2-Illum MC 80/100 CV=0.3 | time=  1.37s | IPM=  132 | Solved | ETA 19.2h
[  1.5%  96/6600] Direct S2-Illum MC 80/100 CV=0.3 | time= 10.49s | IPM=  358 | Solved | ETA 19.3h
[  1.5%  97/6600] CV-SDP S2-Illum MC 80/100 CV=0.4 | time=  1.32s | IPM=  122 | Solved | ETA 19.2h
[  1.5%  98/6600] Direct S2-Illum MC 80/100 CV=0.4 | time=  6.98s | IPM=  231 | Solved | ETA 19.3h
[  1.5%  99/6600] CV-SDP S2-Illum MC 80/100 CV=0.5 | time=  1.23s | IPM=  117 | Solved | ETA 19.1h
[  1.5% 100/6600] Direct S2-Illum MC 80/100 CV=0.5 | time=  6.89s | IPM=  230 | Solved | ETA 19.2h
[  1.5% 101/6600] CV-SDP S2-Illum MC 80/100 CV=0.6 | time=  1.18s | IPM=  119 | Solved | ETA 19.0h
[  1.5% 102/6600] Direct S2-Illum MC 80/100 CV=0.6 | time=  6.82s | IPM=  230 | Solved | ETA 19.1h
[  1.6% 103/6600] CV-SDP S2-Illum MC 80/100 CV=0.7 | time=  1.23s | IPM=  123 | Solved | ETA 18.9h
[  1.6% 104/6600] Direct S2-Illum MC 80/100 CV=0.7 | time=  6.67s | IPM=  221 | Solved | ETA 19.0h
[  1.6% 105/6600] CV-SDP S2-Illum MC 80/100 CV=0.8 | time=  1.33s | IPM=  119 | Solved | ETA 18.8h
[  1.6% 106/6600] Direct S2-Illum MC 80/100 CV=0.8 | time=  6.74s | IPM=  215 | Solved | ETA 18.9h
[  1.6% 107/6600] CV-SDP S2-Illum MC 80/100 CV=0.9 | time=  1.26s | IPM=  124 | Solved | ETA 18.8h
[  1.6% 108/6600] Direct S2-Illum MC 80/100 CV=0.9 | time=  6.57s | IPM=  208 | Solved | ETA 18.8h
[  1.7% 109/6600] CV-SDP S2-Illum MC 80/100 CV=1.0 | time=  1.23s | IPM=  116 | Solved | ETA 18.7h
[  1.7% 110/6600] Direct S2-Illum MC 80/100 CV=1.0 | time=  6.84s | IPM=  193 | Solved | ETA 18.8h
[  1.7% 111/6600] CV-SDP S2-Illum MC 81/100 CV=0.0 | time=  3.47s | IPM=  367 | Solved | ETA 18.7h
[  1.7% 112/6600] Direct S2-Illum MC 81/100 CV=0.0 | time=  1.82s | IPM=   36 | Infeasible | ETA 18.6h
[  1.7% 113/6600] CV-SDP S2-Illum MC 81/100 CV=0.1 | time=  2.65s | IPM=  244 | Solved | ETA 18.5h
[  1.7% 114/6600] Direct S2-Illum MC 81/100 CV=0.1 | time= 19.97s | IPM=  550 | Solved | ETA 19.0h
[  1.7% 115/6600] CV-SDP S2-Illum MC 81/100 CV=0.2 | time=  2.56s | IPM=  264 | Solved | ETA 18.9h
[  1.8% 116/6600] Direct S2-Illum MC 81/100 CV=0.2 | time= 10.11s | IPM=  355 | Solved | ETA 19.0h
[  1.8% 117/6600] CV-SDP S2-Illum MC 81/100 CV=0.3 | time=  1.26s | IPM=  127 | Solved | ETA 18.9h
[  1.8% 118/6600] Direct S2-Illum MC 81/100 CV=0.3 | time= 14.36s | IPM=  374 | Solved | ETA 19.1h
[  1.8% 119/6600] CV-SDP S2-Illum MC 81/100 CV=0.4 | time=  1.23s | IPM=  125 | Solved | ETA 19.0h
[  1.8% 120/6600] Direct S2-Illum MC 81/100 CV=0.4 | time=  9.97s | IPM=  346 | Solved | ETA 19.1h
[  1.8% 121/6600] CV-SDP S2-Illum MC 81/100 CV=0.5 | time=  1.22s | IPM=  122 | Solved | ETA 19.0h
[  1.8% 122/6600] Direct S2-Illum MC 81/100 CV=0.5 | time=  6.65s | IPM=  235 | Solved | ETA 19.1h
[  1.9% 123/6600] CV-SDP S2-Illum MC 81/100 CV=0.6 | time=  1.22s | IPM=  119 | Solved | ETA 18.9h
[  1.9% 124/6600] Direct S2-Illum MC 81/100 CV=0.6 | time=  6.53s | IPM=  230 | Solved | ETA 19.0h
[  1.9% 125/6600] CV-SDP S2-Illum MC 81/100 CV=0.7 | time=  1.32s | IPM=  127 | Solved | ETA 18.8h
[  1.9% 126/6600] Direct S2-Illum MC 81/100 CV=0.7 | time=  6.37s | IPM=  220 | Solved | ETA 18.9h
[  1.9% 127/6600] CV-SDP S2-Illum MC 81/100 CV=0.8 | time=  1.17s | IPM=  118 | Solved | ETA 18.8h
